title,number,likes,retweets,time
#TakeMeThere: Coachella Valley,45,153,50,Apr 21
"Putting a stop to child sex #trafficking in America is crucial, which is why we're signing the @ECPATUSA Code today:",46,79,51,Apr 20
We're partnering with @ThisIsCSD to provide deaf drivers like Larry the keys to success: http://ubr.to/csd ,47,186,83,Apr 19
Rides taken on your business profile can be auto-sent to your expense provider—easy as pie. http://ubr.to/autoexpense ,48,127,57,Apr 18
#TBT to speaking with Larry about his experience as a deaf driver. Stay tuned for another big announcement on 4/19.,49,397,177,Apr 14
"Crossing off another Monday.

#TakeMeThere: Lisbon",50,194,62,Apr 11
Learn more about the UberMILITARY men and women who are moving their communities: http://ubr.to/50k ,51,153,92,Apr 7
To the veterans & military family members who have chosen to hit the road with us—thank you. http://ubr.to/50k ,52,238,138,Apr 7
Just shake it off.,53,367,87,Apr 6
When the snack struggle is real #UberEATS can save the day. Download the app and consider your cravings conquered:,54,55,20,Apr 6
"Don't forget to look up. #TakeMeThere

: @betsnewman",55,188,63,Apr 5
Don't hit snooze on this wake-up call about the dangers of drowsy driving:,56,71,33,Apr 5
"It's not whether you win or lose, it's how you play out your Uber request/exit strategy at the end of the game.",57,210,75,Apr 4
"Uber supports equality for all. #HB2 is wrong, bad for business, and does not help drive NC forward. #WeAreNotThis",58,223,121,Mar 31
Learn how uberPOOL can help you go the extra mile:,59,369,122,Mar 30
"Truly the ride of a lifetime, Seth—6 star rating noted. Congrats to you, your wife, and Baby Ashe.",60,62,25,Mar 30
"When the sun sets on a Monday. 

: @betsnewman",61,145,46,Mar 28
The open road is the perfect solution to any problem—just ask rider @betsnewman: http://ubr.to/betsnewman ,62,111,35,Mar 25
We're now delivering local flavors in even more cities. Download the new #UberEATS app today http://ubr.to/ordereats ,63,140,100,Mar 25
"""If I find myself with nothing to do, I ride to the Griffith Observatory & take in the city."" -@betsnewman #WhyIRide",64,274,92,Mar 23
"Follow along as rider, @betsnewman, hops in the driver's seat of our Instagram account.

http://ubr.to/betsnewman ",65,189,55,Mar 21
"Don't test your luck this #StPatricksDay. If you're dublin down on green beer, ditch your keys and request a ride.",66,253,113,Mar 17
Need to contact us? Today's your lucky day! Reach out in-app:,67,81,37,Mar 17
"Green with envy over this city's #StPatricksDay spirit.   

Take me there: Chicago",68,199,60,Mar 17
Uber & public transit—odd couple or perfect pair? See why @APTA_info thinks it's the latter: http://ubr.to/apta ,69,118,128,Mar 15
"Hungry in Chicago, Houston, LA, SF, or Toronto? Life hack—download the @UberEATS app now: http://ubr.to/ordereats ",70,90,40,Mar 15
Things are looking up—weekend ahead.,71,140,43,Mar 11
"""I want to change the narrative of what women can and cannot do."" -Chioma, #WhyIDrive",72,164,59,Mar 10
Leah is (quite literally) a top chef bringing Asian street food flavors to NYC & @UberEATS. http://ubr.to/eatstalent ,73,84,33,Mar 8
Learn more about the amazing women who help move us from A to B every day: http://ubr.to/drivenwomen ,74,104,82,Mar 8
Ask and you shall receive. Use only your voice to request a ride with @Houndapp—not even the tap of an app required!,75,176,99,Mar 7
Monday blues we can appreciate.,76,162,47,Mar 7
Don't forget to request #uberPOOL today with code CAPITALONEPOOL—eligible @CapitalOne cardholders get 4 free rides:,77,39,18,Mar 6
"""I told myself I would never work a job that made me unhappy again."" -Julie, #WhyIDrive 

Check out the full story:",78,110,32,Mar 6
.@Uber's plan to get more people into fewer cars: http://t.ted.com/d777TBb  @travisk,79,302,214,Mar 4
"Today only, enter promo code 'ZUBER' in your app to unlock a wild @DisneyZootopia surprise. http://ubr.to/zootopia ",80,665,214,Mar 4
"Receipts are so 2015. Now, business profile rides will auto-send to your expense provider. http://ubr.to/autoexpense ",81,92,44,Mar 3
Eligible @CapitalOne cardholders get 4 free #uberPOOL rides this wknd w/code CAPITALONEPOOL: http://ubr.to/poolfree ,82,72,54,Mar 3
"""I've always loved seeing the world from a different angle."" -Jeremy, #WhyIDrive with Zuber in @DisneyZootopia",83,1.3K,464,Mar 1
Something wild is coming soon...,84,215,85,Feb 29
Ubering home at the end of the workweek like: ,85,138,36,Feb 26
"Jae Kim, founder of #UberEATS restaurant Chi'Lantro, lives & cooks by one motto. Learn more: http://ubr.to/chilantro ",86,75,26,Feb 26
"Hello from the other side. 

#TakeMeThere: Melbourne",87,124,35,Feb 25
"UberEATS + @PoorCalvins = Eastern flavors x Western recipes, delivered to Atlantans in as little as 10 minutes:",88,27,9,Feb 24
We are horrified and heartbroken at the senseless violence in Kalamazoo. Statement from our Chief Security Officer:,89,345,350,Feb 21
Glass half full for #NationalDrinkWineDay? Cheers to ditching your keys and requesting a ride instead!,90,254,81,Feb 18
Sunset views. #TakeMeThere,91,162,58,Feb 16
"Roses are red. Violets are blue. We've made a Snapchat valentine just for you. 

Username: uber",92,114,28,Feb 14
Whether you're traveling with your galentines or your valentine—safety first for the ones you love.,93,146,67,Feb 13
"From work life to love life, use Profiles to separate business and personal rides. http://ubr.to/profiles ",94,98,59,Feb 11
Coffee break. #TakeMeThere,95,140,60,Feb 9
A reminder from @DisneyZootopia to all party animals—ride safely to and from your #ZooperBowl parties!,96,405,152,Feb 7
See what happened when these riders hit the field with QB legends @JoeMontana and @TDESP—powered by @drinkbai.,97,137,67,Feb 6
LIVE on #Periscope: #UberPuppyBowl Playtime https://www.periscope.tv/w/aYJwtzE5MDY1MTF8MWt2SnBnUmFhTWtHRSkDwF8ccWTzKMWifQ63MKp_t6govEJ6ZELGRu7qOONK …,98,50,17,Feb 3
"Cold noses. Four legs. Can't lose. 

Check out our #UberPuppyBowl MVPs on Snapchat. Username: uber",99,90,31,Feb 3
"Even if your team fumbled their season, you can still win today with the #UberPuppyBowl: http://ubr.to/puppies16 ",100,213,98,Feb 3
Check out the bits and atoms behind our new look. http://ubr.to/bitsatoms ,101,383,336,Feb 2
The inside story behind Uber's colorful redesign http://wrd.cm/1X0TEfW  by @jessiwrites,102,427,491,Feb 2
#UberPuppyBowl is kicking off in 7 cities on February 3rd. Fur real—this is not a drill: http://ubr.to/puppies16 ,103,223,149,Feb 1
Team didn't make it to the Big Game next week? Cheer up with these pics of the cutest squad on four legs.,104,171,54,Jan 30
Mist you this week. See you this weekend?,105,182,42,Jan 29
"Last year, Bernard was drafted from the #UberPuppyBowl into a home with a brand new sister—Beezus. #TBT",106,118,26,Jan 28
"#TBT to last year's #UberPuppyBowl cuties, Lucy + Bella—sisters who were adopted together and are still inseparable.",107,120,24,Jan 28
"#UberRUSH is powering delivery for businesses of all sizes—get what you want, when you want: http://ubr.to/rushapi ",108,120,89,Jan 28
"Start your day with filter coffee + an awesome city tour on Snapchat—username is uber.

#ResolutionExplore: Chennai",109,102,32,Jan 27
"Go here, there & everywhere with a twist of the wrist. Introducing @Uber for the Samsung #GearS2. #BetterAtEveryTurn",110,509,243,Jan 22
It's Monday—you've earned this ride home.,111,115,29,Jan 25
The Knocks hit the road with us this week—here's your backseat pass: http://ubr.to/theknocks ,112,51,14,Jan 22
Combining fried chicken + lobster mac definitely makes you the talk of the table. #UberEATS http://ubr.to/poorcalvins ,113,69,21,Jan 20
LIVE on #Periscope: On the Road with The Knocks  https://www.periscope.tv/w/aW6ELDE5MDY1MTF8MVlwS2tiUlliRUJ4an2a2i4oh5ab0AacrN-dbXEsinmpIIcJgDtDV5IhRZTL …,114,26,8,Jan 19
Add 'uber' on Snapchat to hit the road with us in Mexico City. #ResolutionExplore,115,66,20,Jan 17
Join us on Snapchat for an abridged (pun intended) tour of the City by the Bay. #ResolutionExplore: San Francisco,116,85,18,Jan 16
There's nothing like Dubai from the sky. Join us on @Snapchat to tour Dubai from UberCHOPPER #ResolutionExplore,117,104,49,Jan 13
"Bird's-eye of Dubai—hop in an UberCHOPPER on our Snapchat. #ResolutionExplore

Username: uber",118,108,49,Jan 13
LIVE on #Periscope: The world islands in Dubai  https://www.periscope.tv/w/aWYuLjE5MDY1MTF8MWRqeFhqbFZPek5HWrbfWKqY2Y9m9oryVch5i8--enJjSDJHYQm3WM5k_0Uf …,119,41,10,Jan 13
LIVE on #Periscope: Tour of Dubai in an UberChopper https://www.periscope.tv/w/aWYt0TE5MDY1MTF8MWdxeHZ3eWpwcGxLQsGu9EAZkqIpISRWyMnfnT1dNk26HJEOYokqdxVicDra …,120,82,22,Jan 13
"Things are looking up on Snapchat. Add us for the full tour.

#ResolutionExplore: Tokyo",121,72,10,Jan 12
"#ResolutionExplore: Melbourne. 

Add 'uber' on @Snapchat and join us on a trip down under.",122,45,12,Jan 11
"We're on the road in the world's ""most liveable"" city today. Where is this #ResolutionExplore destination?",123,37,14,Jan 11
A city known for its coffee and street art. 180 years old. We're taking guesses on this location. #ResolutionExplore,124,58,14,Jan 11
"My @uber driver says she drives part time while working on her MBA. Her #goldenglobe is a diploma. Go, girl! Werk!",125,2.1K,319,Jan 10
Escape the Sunday scaries. #ResolutionExplore,126,58,14,Jan 10
"We just might agree, @Marketplace.",127,37,14,Jan 9
Your weekend is arriving now—hit the road for adventure. #ResolutionExplore,128,47,21,Jan 8
Take your #CES2016 experience to new heights.,129,79,52,Jan 7
"Add us on @Snapchat and experience New Orleans during #KingCake season.

Username: uber",130,68,20,Jan 6
Uber when it's raining—major ,131,310,183,Jan 6
Resolution to walk more not panning out? Our app is a no judgment zone.,132,92,33,Jan 5
"Here's to a fresh start with @UberEATS! New year, healthy you: http://ubr.to/fresh ",133,70,32,Jan 4
Cheers to the millions of riders + hundreds of thousands of drivers who safely rang in 2016. http://ubr.to/nyestats ,134,325,206,Jan 2
Ride to a new adventure in 2016. #ResolutionExplore,135,69,38,Jan 1
"If you drop the ball and leave something behind in your ride, we're here to help: http://ubr.to/nyeguide ",136,55,35,31 Dec 2015
"If your friends are counting down to your arrival, share your ETA with them in the app: http://ubr.to/nyeguide ",137,61,37,30 Dec 2015
"To the riders and drivers who completed 999,999,999 trips to get us to this one—thank you. http://ubr.to/billiontrip ",138,568,423,30 Dec 2015
The post-midnight rush for a ride is real. Start 2016 off by getting into the right car: http://ubr.to/nyeguide ,139,69,67,29 Dec 2015
"Cheers to friends who split the fare! (Everyone else, you know who you are...) http://ubr.to/nyeguide ",140,99,57,28 Dec 2015
Thinking of resolutions to drive toward in 2016? Take a look at the goals reached this year: http://ubr.to/drivengoals ,141,176,57,28 Dec 2015
Don't break your resolution to spend wisely before 2016 begins—estimate your fare on NYE. http://ubr.to/nyeguide ,142,55,43,27 Dec 2015
Home—there's no place like it for the holidays. #TakeMeThere,143,67,35,25 Dec 2015
"Safe rides to all, and to all a good night.",144,144,53,24 Dec 2015
"With #UberEVENTS, your party guests can focus on the fun. 

Sip. Tap. Ride. http://ubr.to/eventslaunch ",145,54,36,22 Dec 2015
"Taking a look back at the jitney: Uber, before Uber. http://ubr.to/ubu ",146,75,55,22 Dec 2015
"Feeling like Scrooge after losing something in your ride? Get reunited with items past. Open your app, click 'Help.'",147,43,22,21 Dec 2015
Make the holidays sweet with @UberEATS. Now in 12 cities: http://ubr.to/eats ,148,52,25,18 Dec 2015
Be the host with the most safe rides. Buy partygoers' rides via #UberEVENTS + we'll donate a portion to @MADDOnline.,149,45,34,17 Dec 2015
"From day to night, choose the profile that's just right. Learn more: http://ubr.to/businessprofiles …",150,47,22,16 Dec 2015
"Unreliable reindeer? Use #UberRUSH in SF, NYC, and CHI for free, same-day gift delivery. http://ubr.to/rushgift ",151,77,40,15 Dec 2015
".@Windows 10 users, rejoice! From phone, to tablet, to desktop—requesting a ride just got easier. Learn more:",152,54,61,10 Dec 2015
"Hit the road with us in cities around the world—add 'uber' on @Snapchat.

#TakeMeThere: Nashville",153,54,17,9 Dec 2015
Let your partygoers ditch their keys—purchase rides with #UberEVENTS + support @MADDOnline: http://ubr.to/maddevents ,154,63,59,8 Dec 2015
Check out some more facts that might surprise you about your drivers: http://ubr.to/drivingforward ,155,157,126,7 Dec 2015
Nothing is more stasifying than checking the last thing off your party planning list: http://ubr.to/events ,156,51,30,4 Dec 2015
#TBT to @UberEATS taking Thanksgiving meals from fail to fab in cities across the country. http://ubr.to/turkey ,157,27,8,3 Dec 2015
Don't forget to ride (RED) this #GivingTuesday. Help drive to a future without AIDS: http://ubr.to/red ,158,84,69,1 Dec 2015
"Today, we ride (RED). http://ubr.to/red ",159,196,123,1 Dec 2015
"London, your uberX ride is about to get 25% cheaper. Introducing uberPOOL: http://t.uber.com/LDN_pool  #uberPOOL",160,76,66,30 Nov 2015
"Ride (RED) December 1, and help us drive toward a world without AIDS. http://ubr.to/red ",161,224,188,30 Nov 2015
"When Richard left NASA to drive toward a different dream, he had no idea he'd end up on stage with one of his icons:",162,29,10,28 Nov 2015
"This #SmallBizSat, we chatted with drivers who use our platform to fuel their passions. http://ubr.to/smallbusinesses ",163,45,20,28 Nov 2015
When you #ShopSmall you can support people like Sunday—driver-partner and print shop owner. http://ubr.to/smallbusinesses ,164,40,11,28 Nov 2015
"Turkey trouble? Tweet @UberEATS with a pic of your #ThanksgivingFail in Chicago, San Francisco, or Seattle and we might be able to help.",165,37,24,26 Nov 2015
Destination: home,166,197,93,25 Nov 2015
Be the ultimate host this holiday season! Offer your guests a ride with #UberEVENTS.,167,37,33,24 Nov 2015
Sunset. #TakeMeThere,168,186,72,20 Nov 2015
"Driving part time allows Jose to dive deeper into his passion—marine biology. 

Full story: http://ubr.to/jose ",169,50,28,20 Nov 2015
Thank you to all of the @passport_health nurses who helped people in over 35 cities drive toward a healthier future.,170,68,28,19 Nov 2015
Flu season is right around the corner—beat the bug with #UberHEALTH. Request today: http://ubr.to/wellness ,171,55,44,19 Nov 2015
Convenience is key when making the decision to get vaccinated. #UberHEALTH helps you stay well at the tap of an app.,172,60,54,18 Nov 2015
"From the daily grind to play time, Business Profiles make riding even easier. Learn more: http://ubr.to/profiles ",173,48,27,18 Nov 2015
#UberHEALTH is on call tomorrow to help you fight the flu and stay well this winter. http://ubr.to/wellness ,174,102,78,18 Nov 2015
Find out what motivates the employees who drive our company forward: http://ubr.to/workwithus ,175,59,37,17 Nov 2015
Get the party started (and ended) with safe rides—#UberEVENTS to the rescue:,176,40,31,17 Nov 2015
We’ve partnered with @Practo to take care of your commute when you're under the weather: http://ubr.to/apipracto ,177,84,70,15 Nov 2015
Learn how other companies are using our API to put innovation in motion: http://ubr.to/apimotion ,178,72,48,16 Nov 2015
Our hearts go out to everyone in France after these horrific attacks.,179,242,69,14 Nov 2015
Nous sommes de tout coeur avec les victimes et familles de victimes des horribles événements qui viennent d’endeuiller la France.,180,89,44,14 Nov 2015
Flexible earning opportunities are key in the #NextEconomy. http://ubr.to/fowinfo ,181,88,69,13 Nov 2015
"#TBT to #UberKITTENS, which helped over 315 cat-didates find their furever homes. http://ubr.to/kittensimpact ",182,72,23,12 Nov 2015
We're recognizing the service of our top UberMILITARY driver-partners by joining efforts with @SPG. Learn more:,183,44,15,11 Nov 2015
"Show your thanks. 

Request. Ride. Give. http://ubr.to/veterans2015 ",184,46,38,11 Nov 2015
Donate to veterans experiencing homelessness and give back to those who have given so much: http://ubr.to/veterans2015 ,185,87,61,11 Nov 2015
Big news! This #VeteransDay @Uber and @Lyft are donating free rides for veterans. Learn more from @JoiningForces:,186,1.1K,957,10 Nov 2015
Make a difference in a veteran's life tomorrow when you ride and donate. Learn more: http://ubr.to/veterans2015 ,187,78,74,10 Nov 2015
Something’s sizzling in Chicago…,188,118,55,8 Nov 2015
Put the power of safe rides in your party guests’ hands with #UberEVENTS. http://ubr.to/eventslaunch ,189,101,91,4 Nov 2015
Our designers put themselves to a 100 day test and the results were incredible. http://ubr.to/100days ,190,62,31,3 Nov 2015
Fall in love with your ride.,191,185,71,3 Nov 2015
Take a look at the future of work with @davidplouffe—follow along live:,192,43,18,3 Nov 2015
Don't get spooked by surge pricing. Estimate your fare before you ride. http://ubr.to/rideguide ,193,85,53,31 Oct 2015
Looking to save your wallet tonight? uberPOOL to the rescue! http://ubr.to/carstumes ,194,52,22,31 Oct 2015
Make sure your chariot doesn't turn into a pumpkin. Check the license plate before riding. http://ubr.to/rideguide ,195,83,35,30 Oct 2015
#UberKITTENS are headed home for a cat nap after a full day of interviewing. Hope you found the perfect mew hire.,196,150,65,29 Oct 2015
LIVE on #Periscope: Pressed paws -- now we're back!  https://www.periscope.tv/w/aQKC7DE5MDY1MTF8MWVhSmJFdnBrZG9HWD1t6cKhF2Ptjez0XHCfFmEFNku57_WLmDlsERYEpp_I …,197,10,7,29 Oct 2015
LIVE on #Periscope: Can't-miss #UberKITTENS Cam  https://www.periscope.tv/w/aQJgHjE5MDY1MTF8MWVhS2JFdlBFVmF4WGPQLEmndUALUTBWiusnUtjNCnt8lJgRaQVr6mVbdeIF …,198,25,28,29 Oct 2015
#UberKITTENS are interviewing across the US. See what others have to say about the cat-didates they've met so far:,199,31,14,29 Oct 2015
Grace Coddington ordered #uberKittens to the Vogue offices for #NationalCatDay and here's what happened:,200,273,139,29 Oct 2015
Hide your keyboards. Hide your mice. #UberKITTENS are here. http://ubr.to/kittens15 ,201,714,526,29 Oct 2015
"Reggie's currently an Advo-cat, but is looking for a full time position as your new BFF: http://ubr.to/kittens15 ",202,64,35,28 Oct 2015
"Hunter Byrd hails from Kitty Hawk, NC, and is just trying to get a paw in the door in the Nap Studies industry.",203,68,36,28 Oct 2015
Your Uber public policy blog is arriving now.,204,40,18,28 Oct 2015
Tabby could be just the purrsonal assistant for you! Take your pick of the litter tomorrow: http://ubr.to/kittens15 ,205,58,35,28 Oct 2015
You'll want to extend an adoption offer to Kitty Baxter after seeing her impressive work in the ornithology field.,206,74,39,28 Oct 2015
Cat's out of the bag—#UberKITTENS are back! Find the purrfect cat-didate to adopt tomorrow: http://ubr.to/kittens15 ,207,321,354,28 Oct 2015
Rolling with your whole pack? uberXL seats 6 and is sure to be a howl. http://ubr.to/carstumes ,208,35,10,27 Oct 2015
You're not the only one getting all dressed up this Halloween: http://ubr.to/carstumes ,209,69,47,27 Oct 2015
"This Halloween, don't forget your fangs. If you do, contact your driver. http://ubr.to/rideguide ",210,51,25,27 Oct 2015
Tell the boys and ghouls you'll be there in time for the Monster Mash by sharing your ETA. http://ubr.to/rideguide ,211,35,25,25 Oct 2015
Sharing isn't scary. Roll with your witches and split your fare—no broomsticks necessary. http://ubr.to/rideguide ,212,62,36,24 Oct 2015
Keep your fake blood and glitter in check this Halloween to avoid cleaning fees. http://ubr.to/rideguide ,213,71,55,23 Oct 2015
"With Uber on your wrist, you decide when to stay. Or go. http://www.apple.com/watch/ ",214,200,130,22 Oct 2015
Because businesses understand that sometimes you need a burrito fix...now. #UberRUSH http://ubr.to/rush ,215,61,35,22 Oct 2015
"Halloween's almost here, so check out our tips to ensure yours is full of treats—not tricks. http://ubr.to/rideguide ",216,69,54,20 Oct 2015
"""Put simply, the future of work is about independence and flexibility."" -@travisk",217,83,89,15 Oct 2015
Businesses can now use #UberRUSH to bring you what you want. When you want it.,218,104,92,15 Oct 2015
"With #UberRUSH, businesses can deliver almost anything to anyone in minutes. http://ubr.to/rush ",219,118,100,14 Oct 2015
We're harnessing our technology's reach to share AMBER Alerts with the right people at the right time.,220,80,65,14 Oct 2015
Satisfy your sweet tooth in 7 cities with @UberEATS. #NationalDessertDay http://ubr.to/dessert ,221,53,28,14 Oct 2015
"With the new Uber Partner app, drivers have the keys to success. http://ubr.to/partnerupdate ",222,80,51,13 Oct 2015
"Check out the full story behind #UberEATS favorite, DOSA—it's the talk of the table. http://ubr.to/dosa ",223,30,16,12 Oct 2015
The best days start with Uber—let's ride.,224,145,72,11 Oct 2015
See how @USC is working with us to ensure students' late nights end with safe rides: http://ubr.to/uscrides ,225,82,43,9 Oct 2015
We'll have seconds. #UberEATS http://ubr.to/dosa ,226,45,17,7 Oct 2015
Anything for Liza.,227,87,31,6 Oct 2015
"Jay Leno goes undercover as an @Uber Black driver, and gives some passengers the ride of their lives #LenoCNBC #Uber",228,3.2K,1.2K,2 Oct 2015
"""Parking is...I don’t want to say the worst, but very hard + expensive."" -Carrington #WhyIRide http://ubr.to/cscott ",229,48,26,2 Oct 2015
"""The mix of the spot and how we got there made for a great day."" -Daniel #WhyIRide http://ubr.to/dstewart ",230,54,21,1 Oct 2015
"Viva Las Vegas! The whole team is celebrating @Uber_Vegas today with more than 5,000 hours of community service.",231,126,97,30 Sep 2015
Thanks to @Uber for supporting several of our branding and marketing projects today! We are so grateful.,232,74,34,30 Sep 2015
"""Having time to just look out of the window—that’s something I love most."" -Marcus #WhyIRide http://ubr.to/mtortorici ",233,33,11,30 Sep 2015
"Find out what made Marcus choose photography, New York, and Uber: http://ubr.to/mtortorici ",234,19,6,30 Sep 2015
Uber London needs your support. Sign the petition to let @TfL know riders and drivers come first https://action.uber.org/tfl/  #UbermovesLDN,235,283,569,29 Sep 2015
"""We overslept, so we called an Uber. It was nice to have that chill moment"" -Aundre #WhyIRide http://ubr.to/alarrow ",236,49,14,29 Sep 2015
"As a photographer, Aundre's always looking for new destinations. See where his rides have led: http://ubr.to/alarrow ",237,36,15,29 Sep 2015
Everyone has a destination—4 riders are taking over our Instagram to show you theirs: http://ubr.to/riderslens ,238,34,15,28 Sep 2015
What happened when 3 driver-partners hopped in the driver's seat of our Instagram? Find out: http://ubr.to/driverslens ,239,30,15,25 Sep 2015
"""Driving around I see places I would have never thought of."" -D’Angelo #WhyIDrive http://ubr.to/dharris ",240,48,22,24 Sep 2015
"China, your API is arriving now. http://ubr.to/ChinaAPI ",241,50,35,24 Sep 2015
Honestly such an honor. #mindblown - @taylorswift13 can’t wait to collab! @RondaRousey I’ll see you in the octagon :),242,108,43,24 Sep 2015
Making the journey to work feel a little less like...work—uberCOMMUTE. http://ubr.to/commute ,243,58,52,23 Sep 2015
"""There was a gorgeous view I wouldn't have seen if I hadn’t taken that ride."" -Matt #WhyIDrive http://ubr.to/mbautista ",244,43,11,23 Sep 2015
"Even as we continue to grow, the Bay Area will always be our home. See how we're deepening our roots in @Oakland:",245,37,25,23 Sep 2015
"""Seeing more backroads. Seeing these hidden gems."" -Nicholas #WhyIDrive http://ubr.to/nhess ",246,33,11,22 Sep 2015
Every journey has a story. 3 driver-partners captured their favorites: http://ubr.to/driverslens ,247,37,23,21 Sep 2015
This week 3 driver-partners are picking you up for a scenic journey on our @Instagram. http://ubr.to/driverslens ,248,54,33,21 Sep 2015
Treat yourself. #UberEATS http://ubr.to/eats ,249,58,22,19 Sep 2015
Because it's Friday. #UberEATS http://ubr.to/eats ,250,69,19,18 Sep 2015
"Forget 5—you'd be 6 stars all the way, @madeleine!

 #DrivingDavid",251,32,13,18 Sep 2015
Done. #UberEATS http://ubr.to/eats ,252,51,22,17 Sep 2015
"Last week, thousands of riders + hundreds of driver-partners made a difference in Europe: http://ubr.to/giving  #UberGIVING",254,47,24,14 Sep 2015
.@Dannijo is taking you behind the scenes of #NYFW today on our Snapchat. Add 'uber' now to follow along.,255,22,7,14 Sep 2015
"""The key is to stick to your core values and beliefs"" -Jono

Check out the rest of our chat with @aboveandbeyond:",256,61,32,13 Sep 2015
Meet the next generation of women engineers: http://ubr.to/gwc  //@GirlsWhoCode,257,156,59,11 Sep 2015
"Add us on @Snapchat for an adventure in Austin, TX. #TakeMeThere

Username: uber",258,39,15,11 Sep 2015
We went on the road with @aboveandbeyond before they hit the stage. See what they had to say: http://ubr.to/abvnbynd ,259,85,40,10 Sep 2015
Thanks @travisk and @Uber for being a @GirlsWhoCode ally and for helping us close the gender gap. #girlsbuiltthis,260,156,92,9 Sep 2015
"Proud to launch UberEnglish in Colombia, a new @uber view with English-speaking drivers certified by the Duolingo Test Center English exam!",261,112,58,9 Sep 2015
